id,index_time,author,description,keywords,license_url,content,url,source_file_path,source_file_offset,domain,text,content_type_full
"20200327181118/TlreJ8f+MOQc4got7OoRzA==","Mon Oct 23 09:04:50 GMT 2023","©VisitBritain/Gamze Biran","London Eye, London, Greater London.Phone image - not suitable for large printing","","","","https://blogs.fco.gov.uk/wp-content/uploads/London-Eye-London-Greater-London.jpg","/host_dir/MW-TNAUKGWA-41399-000-20200327175950-www.gov.uk-00027.warc.gz","472975813","fco.gov.uk","","image/jpeg; version=1.01"
"20200327173220/OcpPWmGjZiaZ1+rEyzf9Cw==","Mon Oct 23 08:45:05 GMT 2023","©VisitBritain/Gamze Biran","London Eye, London, Greater London.Phone image - not suitable for large printing","","","","https://blogs.fco.gov.uk/wp-content/uploads/London-Eye-London-Greater-London-637x267.jpg","/host_dir/MW-TNAUKGWA-41399-000-20200327173138-www.gov.uk-00025.warc.gz","24125267","fco.gov.uk","","image/jpeg; version=1.01"
"20200327181117/aezyFI9AhONmIZIuOaJGFg==","Mon Oct 23 09:04:50 GMT 2023","©VisitBritain/Gamze Biran","London Eye, London, Greater London.Phone image - not suitable for large printing","","","","https://blogs.fco.gov.uk/wp-content/uploads/London-Eye-London-Greater-London-700x700.jpg","/host_dir/MW-TNAUKGWA-41399-000-20200327175950-www.gov.uk-00027.warc.gz","471947743","fco.gov.uk","","image/jpeg; version=1.01"
"20230908223952/gOPJG8Xc7uV0gp6pIIOvhA==","Mon Oct 23 08:28:36 GMT 2023","Deejpilot","Last of the Sunset Light Falling onto the Buildings, sky copy space","","","","https://ofsi.blog.gov.uk/wp-content/uploads/sites/217/2023/03/iStock-1358767147.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908223349-www.gov.uk-00039.warc.gz","233018580","blog.gov.uk","","image/jpeg; version=1.01"
"20200327144508/jaDfi25D6rYqiPQt++bAaA==","Mon Oct 23 08:59:04 GMT 2023","","LONDON IN THE SPRING OF 1941: EVERYDAY LIFE IN LONDON, ENGLAND (D 2937) Four young ladies enjoy a stroll in the Spring sunshine along a shopping street in the West End of London. Two are wearing fancy hats, proving that wartime clothing doesn't have to be drab! Cars and other pedestrians go about their daily business behind them. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205198394","","","","https://media.iwm.org.uk/ciim5/563/237/large_000000.jpg","/host_dir/MW-TNAUKGWA-41399-000-20200327143824-www.gov.uk-00010.warc.gz","105457866","iwm.org.uk","","image/jpeg"
"20230908203821/W9Fnxu3ItxIfVsaEWsypUw==","Mon Oct 23 08:52:46 GMT 2023","CHUNYIP WONG","Royal Courts of Justice, London","","","","https://insidehmcts.blog.gov.uk/wp-content/uploads/sites/171/2023/05/GettyImages-1364054996.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908203133-www.gov.uk-00027.warc.gz","130726637","blog.gov.uk","","image/jpeg; version=1.01"
"20230908204449/w7F+PGK/AwUTwTFvkcBy3A==","Mon Oct 23 08:53:15 GMT 2023","www.studyshots.co.uk","Imperial College London - IRDB - 28062013","","","","https://imperialbrc.nihr.ac.uk/wp-content/uploads/2023/06/Ovarian-Cancer-552x336.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908203133-www.gov.uk-00027.warc.gz","308699471","nihr.ac.uk","","image/jpeg; version=1.01"
"20230908230334/ID73SzmYnMCYQIENk6QrXQ==","Mon Oct 23 09:19:01 GMT 2023","Scott Ramsey","Covid-19 Inquiry London, UK.","","","","https://covid19.public-inquiry.uk/wp-content/uploads/2023/05/Covid-19-Inquiry-27102022-01054-2-scaled.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908230215-www.gov.uk-00042.warc.gz","25291716","covid19.public-inquiry.uk","","image/jpeg; version=1.01"
"20200327171345/HBdg/yQUBSGBYR6ATdeCgw==","Mon Oct 23 08:55:16 GMT 2023","","Smith Square, London","","","","https://www.local.gov.uk/sites/default/files/images/lga_36183074639.jpg","/host_dir/MW-TNAUKGWA-41399-000-20200327171311-www.gov.uk-00023.warc.gz","4580893","local.gov.uk","","image/jpeg; version=1.01"
"20230908144943/WlZZ0NbbiDiYNQP67FBJDg==","Mon Oct 23 08:43:15 GMT 2023","©VisitBritain/Emma Kate Co","Borough Market, London","","","","https://www.visitengland.com/sites/default/files/vb34177155_0.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908143832-www.gov.uk-00005.warc.gz","430698805","visitengland.com","","image/jpeg; version=1.01"
"20230908174911/HBdg/yQUBSGBYR6ATdeCgw==","Mon Oct 23 09:11:03 GMT 2023","","Smith Square, London","","","","https://www.local.gov.uk/sites/default/files/images/lga_36183074639.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908174749-www.gov.uk-00017.warc.gz","45937287","local.gov.uk","","image/jpeg; version=1.01"
"20230908212323/tmLFFLJAXynKQIeM7DCt7w==","Mon Oct 23 08:22:07 GMT 2023","Thomas Angus Studyshots","Imperial College London AHSC 23 09 2013","","","","https://imperialbrc.nihr.ac.uk/wp-content/uploads/2020/01/imp-130923-ahsc-081_138776_001-552x336.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908211550-www.gov.uk-00030.warc.gz","353235689","nihr.ac.uk","","image/jpeg; version=1.01"
"20230908212324/7AqWHCy69MAwTd2T57xFMg==","Mon Oct 23 08:22:08 GMT 2023","Thomas Angus Studyshots","Imperial College London AHSC 23 09 2013","","","","https://imperialbrc.nihr.ac.uk/wp-content/uploads/2019/03/imp-130923-ahsc-098_138791_001-552x336.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908211550-www.gov.uk-00030.warc.gz","353803477","nihr.ac.uk","","image/jpeg; version=1.01"
"20230908220127/f7H9bZUaKsMU3/5fKqY+eA==","Mon Oct 23 08:47:50 GMT 2023","Thomas Angus Studyshots","Imperial College London AHSC 23 09 2013","","","","https://imperialbrc.nihr.ac.uk/wp-content/uploads/2023/06/imp-130923-ahsc-092_138694_001-756x425.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908215649-www.gov.uk-00033.warc.gz","127562626","nihr.ac.uk","","image/jpeg; version=1.01"
"20230908220128/0gaxXv+yUPkA8NleQJ2NgA==","Mon Oct 23 08:47:50 GMT 2023","Thomas Angus Studyshots","Imperial College London AHSC 23 09 2013","","","","https://imperialbrc.nihr.ac.uk/wp-content/uploads/2023/06/imp-130923-ahsc-092_138694_001-2048x1152.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908215649-www.gov.uk-00033.warc.gz","127776993","nihr.ac.uk","","image/jpeg; version=1.01"
"20230908220129/sgcFJr0dNwHev+OToiLKnA==","Mon Oct 23 08:47:51 GMT 2023","Thomas Angus Studyshots","Imperial College London AHSC 23 09 2013","","","","https://imperialbrc.nihr.ac.uk/wp-content/uploads/2023/06/imp-130923-ahsc-092_138694_001-1340x754.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908215649-www.gov.uk-00033.warc.gz","128634530","nihr.ac.uk","","image/jpeg; version=1.01"
"20230908220130/YdEtjA0jepDuKmEe7yPiCg==","Mon Oct 23 08:47:51 GMT 2023","Thomas Angus Studyshots","Imperial College London AHSC 23 09 2013","","","","https://imperialbrc.nihr.ac.uk/wp-content/uploads/2023/06/imp-130923-ahsc-092_138694_001-1536x864.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908215649-www.gov.uk-00033.warc.gz","128930549","nihr.ac.uk","","image/jpeg; version=1.01"
"20230908220134/yIxPT7XE2iGYglshw+nzJQ==","Mon Oct 23 08:47:51 GMT 2023","Thomas Angus Studyshots","Imperial College London AHSC 23 09 2013","","","","https://imperialbrc.nihr.ac.uk/wp-content/uploads/2023/06/imp-130923-ahsc-092_138694_001-768x432.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908215649-www.gov.uk-00033.warc.gz","131192539","nihr.ac.uk","","image/jpeg; version=1.01"
"20230908163509/PN0ixrdbz19wOQ4d1jLpuA==","Mon Oct 23 09:23:32 GMT 2023","Scott Heavey","LONDON, ENGLAND - AUGUST 30: Jessica Luke (L) Georgina Bullen (C) and Anna Sharkey of Great Britain in action during the Women's Group C Goalball match between China and Great Britain on day 1 of the London 2012 Paralympic Games at The Copper Box on August 30, 2012 in London, England. (Photo by Scott Heavey/Getty Images)","","","","https://www.uksport.gov.uk/-/media/images/gettyimages151003190.ashx","/host_dir/MW-TNAUKGWA-64115-000-20230908162010-www.gov.uk-00010.warc.gz","434124892","uksport.gov.uk","","image/jpeg; version=1.01"
"20230908224017/NiAdUCHiP/Wc4wRdxESg9Q==","Mon Oct 23 08:28:39 GMT 2023","Nebs","The Shard and London skyline","","","","https://cp.catapult.org.uk/wp-content/uploads/2023/01/shutterstock_494963455-scaled.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908223349-www.gov.uk-00039.warc.gz","274926632","catapult.org.uk","","image/jpeg; version=1.01"
"20230908142737/OlK8YQjOffXptAptUZ0stQ==","Mon Oct 23 08:23:29 GMT 2023","Mike Kemp","Westminster Foundation for Democracy (WFD) in partnership with the Commonwealth Parliamentary Association Headquarters (CPA), Commonwealth Parliamentary Association UK (CPA UK) and the Commonwealth Local Government Forum (CLGF) event at the British Academy on 4th March 2020 in London, United Kingdom. Commonwealth organisations are hosting a three-day conference in London which aims to put inclusion and accountability high on the agenda for the Commonwealth Heads of Government Meeting (CHOGM) in Rwanda in June 2020. Panel discussion.","","","","https://www.wfd.org/sites/default/files/2021-12/20200304_WFD_Day_1_034.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908142539-www.gov.uk-00004.warc.gz","85400882","wfd.org","","image/jpeg"
"20230908163502/tLFYNTXlfRYU6WKz3LhuQQ==","Mon Oct 23 09:23:31 GMT 2023","Matthew Lloyd","WINDSOR, ENGLAND - SEPTEMBER 02: The Great Britain Mixed Coxed Four Rowing - LTAMix4+ team hug each other during the medal ceremony after winning gold on day 4 of the London 2012 Paralympic Games at Eton Dorney on September 2, 2012 in Windsor, England. (Photo by Matthew Lloyd/Getty Images)","","","","https://www.uksport.gov.uk/-/media/uks-strategic-landing-images/image-1.ashx","/host_dir/MW-TNAUKGWA-64115-000-20230908162010-www.gov.uk-00010.warc.gz","422075990","uksport.gov.uk","","image/jpeg; version=1.01"
"20230908164756/xAiWu//XLcwUyGkxoNydsA==","Mon Oct 23 08:53:54 GMT 2023","SAC Beth Roberts RAF","Photographed here is SAC Alan Thomas, Band of the RAF Regiment from RAF Northolt in front of Tower bridge on the Tower of London.Today RAF Music and the Queens Colour Squadron are filming for a short documentary piece regarding their roles in the Ceremony of the keys at the Tower of London. Photographed is a variety of portraits and landscapes depicting the area and the personnel involved. The ceremony itself was not photographed or filmed.","","","","https://www.raf.mod.uk/index.cfm/_api/asset/image/?filePath=/raf-beta/assets/Image/8B3DC00C-03BD-44B5-9C7DB455E372881E-NHT-Official-20210529-131-0084_003_LR.jpeg","/host_dir/MW-TNAUKGWA-64115-000-20230908164434-www.gov.uk-00012.warc.gz","97455489","raf.mod.uk","","image/jpeg; version=1.01"
"20200327174626/R1Z6/zro5SVMVTf4Yxv0vg==","Mon Oct 23 08:46:22 GMT 2023","Wellcome Images","Credit: Wellcome Library, London. Wellcome Images","","","","http://journal.sciencemuseum.ac.uk/ImageGen.ashx?image=/media/2254/fig-1-sleeping-dreaming-rsz-thumb.jpg&compression=90&height=125&width=125","/host_dir/MW-TNAUKGWA-41399-000-20200327173138-www.gov.uk-00025.warc.gz","388295555","sciencemuseum.ac.uk","","image/jpeg; version=1.01"
"20200327181112/FDCUkncsGTr1JiCAEwHclA==","Mon Oct 23 09:04:49 GMT 2023","","Energy Gallery, Science Museum, London, 2007.","","","","http://journal.sciencemuseum.ac.uk/ImageGen.ashx?image=/media/2294/fig-7-sspl_10466645_highres.jpg&compression=90&height=125&width=125","/host_dir/MW-TNAUKGWA-41399-000-20200327175950-www.gov.uk-00027.warc.gz","468350097","sciencemuseum.ac.uk","","image/jpeg; version=1.01"
"20200327213658/9vICz9yRYn5dFGWDdl2DJw==","Mon Oct 23 08:47:45 GMT 2023","Maxian","An ambulance rushing through London streets.","","","","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/image_data/file/97611/s300_Covid_ambo_960_640.jpg","/host_dir/MW-TNAUKGWA-41399-000-20200327212645-www.gov.uk-00039.warc.gz","331175150","service.gov.uk","","image/jpeg; version=1.01"
"20200327215248/1xkLpGHN66UnNfurUi4BrA==","Mon Oct 23 08:49:33 GMT 2023","Maxian","An ambulance rushing through London streets.","","","","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/image_data/file/97611/s960_Covid_ambo_960_640.jpg","/host_dir/MW-TNAUKGWA-41399-000-20200327214317-www.gov.uk-00040.warc.gz","409951093","service.gov.uk","","image/jpeg; version=1.01"
"20230908150820/CzxPeSjMjymYjrIUT9raGQ==","Mon Oct 23 08:33:28 GMT 2023","©VisitBritain/ Sam Barker","Friends enjoying a day in London","","","","https://www.visitbritain.org/sites/default/files/vb-corporate/Images/basic-landing-pages/vb34179388_crop.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908144956-www.gov.uk-00006.warc.gz","344684830","visitbritain.org","","image/jpeg; version=2.2.1"
"20230908215224/dlteO15oF3ggAduXaroiLQ==","Mon Oct 23 08:39:58 GMT 2023","","Energy Gallery, Science Museum, London, 2007.","","","","https://journal.sciencemuseum.ac.uk/wp-content/uploads/2020/05/fig-7-sspl_10466645_highres.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908214808-www.gov.uk-00032.warc.gz","347228465","sciencemuseum.ac.uk","","image/jpeg; version=2.2.1"
"20230908223511/j6AAVuiWILvV4apjFGMQyA==","Mon Oct 23 08:28:11 GMT 2023","Wellcome Images","Credit: Wellcome Library, London. Wellcome Images","","","","https://journal.sciencemuseum.ac.uk/wp-content/uploads/2020/05/fig-1-sleeping-dreaming-rsz.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908223349-www.gov.uk-00039.warc.gz","65369309","sciencemuseum.ac.uk","","image/jpeg; version=2.2.1"
"20230908223539/nLRopNNU6Ipsx8Jz3ikqtw==","Mon Oct 23 08:28:13 GMT 2023","Wellcome Images","Credit: Wellcome Library, London. Wellcome Images","","","","https://journal.sciencemuseum.ac.uk/wp-content/uploads/2020/04/simon-chaplin.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908223349-www.gov.uk-00039.warc.gz","83528850","sciencemuseum.ac.uk","","image/jpeg; version=2.2.1"
"20200327171645/R9we6U4eBl2Bzw5ho0aCpg==","Mon Oct 23 08:55:38 GMT 2023","_ultraforma_","London, UK - June 07: A person approaching the main entrance of the Google headquarters in London King's Cross at day","","","","https://www.practitionerhealth.nhs.uk/media/content/images/google-tools.jpg","/host_dir/MW-TNAUKGWA-41399-000-20200327171311-www.gov.uk-00023.warc.gz","97495885","practitionerhealth.nhs.uk","","image/jpeg"
"20230908134139/BbwhH4OVppFjzkJUe6t2jQ==","Mon Oct 23 08:26:43 GMT 2023","Cpl Adam Fletcher - RAF","6th July 2019Seen here, The Royal Air Force Aerobatic Team - The Red Arrows fly over Trafalgar Square London and the London Pride MarchRoyal Air Force leading the way at London Pride.Royal Air Force (RAF) personnel from across the country will be in London today, proudly showing the Equality and Diversity of the RAF, during Pride in London Parade.This is the 20th anniversary year of open trans service in the British Armed Forces,RAF LGBT+ Freedom Network and other members will be representing the RAF, by leading the parade for all three military services and MOD Civil Servants. The Royal Air Force has been named one of the most inclusive employers in Britain by lesbian, gay, bi and trans equality charity Stonewall in its Top 100 Employers list for 2019. Due to take part and play the duration of the parade route are the Central Band of the RAF, also with a flypast by the Red Arrows over Trafalgar Square.The parade sets off from Portland Place, moving down Oxford Circus, along Regent Street to Piccadilly Circus, Lower Regent Street, Pall Mall and then passing Trafalgar Square before finishing on Whitehall.Pride in London Website: Pride in London is back and set to be our biggest yet. Lesbian, trans, genderqueer or otherwise; wherever you identify, Pride in London is about the people, for the people. This year celebrating 50 years since the birth of the modern LGBT+ rights movement. Over a million people joined in for pride in London 2018, marching, dancing and laughing to campaign for the freedoms. 2018’s parade was monumental, but 2019’s is going to be even bigger. Get ready to join our most diverse Pride in London parade yet.","","","","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/feature/image/91278/s465_38GpPO-Official-20190706-157-115__1_.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908132629-www.gov.uk-00001.warc.gz","288715422","service.gov.uk","","image/jpeg; version=1.01"
"20200327221000/wX5PNwHgWM266j0rLz3KeQ==","Mon Oct 23 09:21:40 GMT 2023","","EVACUEES FROM LONDON IN PEMBROKESHIRE, WALES, 1940 (D 989) Girls from St George's Church of England School in Battersea, London, take part in an open-air sewing class, by the edge of a river or lake, whilst evacuated to Pembrokeshire, Wales in 1940. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205197779","","","","https://media.iwm.org.uk/ciim5/40/745/large_000000.jpg","/host_dir/MW-TNAUKGWA-41399-000-20200327220704-www.gov.uk-00042.warc.gz","173203894","iwm.org.uk","","image/jpeg"
"20200327145650/e+VbZ0I00QSzu31LWuktaQ==","Mon Oct 23 08:30:55 GMT 2023","Anthony Devlin","Aerial view of semi-detached housing, London","","","","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/take_part_page/image/18/s300_make_a_neighbourhood_plan.jpg","/host_dir/MW-TNAUKGWA-41399-000-20200327145502-www.gov.uk-00011.warc.gz","85989741","service.gov.uk","","image/jpeg; version=1.01"
"20200327223430/JehlZJv4NxUnxVhIFmvwdg==","Mon Oct 23 08:55:55 GMT 2023","xenotar","London Bridge and town hall at dusk","","","","https://www.europa.uk.com/wp-content/uploads/2018/07/public-sector.jpg","/host_dir/MW-TNAUKGWA-41399-000-20200327222618-www.gov.uk-00044.warc.gz","263314566","europa.uk.com","","image/jpeg; version=1.01"
"20230908142923/e+VbZ0I00QSzu31LWuktaQ==","Mon Oct 23 08:23:44 GMT 2023","Anthony Devlin","Aerial view of semi-detached housing, London","","","","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/take_part_page/image/18/s300_make_a_neighbourhood_plan.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908142539-www.gov.uk-00004.warc.gz","146209812","service.gov.uk","","image/jpeg; version=1.01"
"20230908215058/uqZTiZuUXpDbxaf6QQn+fQ==","Mon Oct 23 08:39:49 GMT 2023","","Dispensing pot. London, England, early 19th Century.","","","","https://journal.sciencemuseum.ac.uk/wp-content/uploads/2020/05/fig-2-_sspl_10546945_highres.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908214808-www.gov.uk-00032.warc.gz","251779383","sciencemuseum.ac.uk","","image/jpeg; version=1.01"
"20200327150738/UZSCPrNuLpVhP15eyZa4tA==","Mon Oct 23 08:31:57 GMT 2023","","Children give the thumbs up whilst trying on fireman's hats.Exhibition: London��������s BurningActivity: gallery visitLocation: MOL: London��������s Burning Date: 2005 �������� 2010","","","","https://www.museumoflondon.org.uk/application/files/8915/0548/9082/308404.jpg","/host_dir/MW-TNAUKGWA-41399-000-20200327150409-www.gov.uk-00012.warc.gz","273702238","museumoflondon.org.uk","","image/jpeg; version=1.01"
"20230908181644/8da7RgFk9X/QuJkphMa/3A==","Mon Oct 23 09:18:55 GMT 2023","","UK. London. UKTI. 2010. UKTI Staff. The City of London. The Bank of England. Cornhill. Business. Finance. Architecture. Business people with folder.","","","","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/feature/image/96943/s465_export-finance.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908180212-www.gov.uk-00018.warc.gz","421518905","service.gov.uk","","image/jpeg; version=1.01"
"20230908174443/OdYuzusMxccWI+m5NTBjQA==","Mon Oct 23 08:28:06 GMT 2023","London Borough of Barnet (Barnet Council)","Official logomark of Barnet Council – a North London Borough","","","","https://www.londoncouncils.gov.uk/sites/default/files/Borough%20logos/Barnet%20logo_K%20%2814-08-2013%29.jpg","/host_dir/MW-TNAUKGWA-64115-000-20230908173409-www.gov.uk-00016.warc.gz","424776591","londoncouncils.gov.uk","","image/jpeg; version=2.2.1"
"20200327181006/tBahUYhc1F1GvL5vLbl/JQ==","Mon Oct 23 09:04:40 GMT 2023","","Exhibitions London 2015Revelations: Experiments in Photography 20/03/2015 to 13/09/2015Curator: Dr. Benedict BurbridgeScience MuseumExhibition Road, South Kensington, London, SW7 2DD","","","","http://journal.sciencemuseum.ac.uk/ImageGen.ashx?image=/media/2755/rev9.jpg&compression=90&height=125&width=125","/host_dir/MW-TNAUKGWA-41399-000-20200327175950-www.gov.uk-00027.warc.gz","422373457","sciencemuseum.ac.uk","","image/jpeg; version=1.01"
"20200327181007/6EAEdk+S96A13Yx9R0Fn8w==","Mon Oct 23 09:04:40 GMT 2023","","Exhibitions London 2015Revelations: Experiments in Photography 20/03/2015 to 13/09/2015Curator: Dr. Benedict BurbridgeScience MuseumExhibition Road, South Kensington, London, SW7 2DD","","","","http://journal.sciencemuseum.ac.uk/ImageGen.ashx?image=/media/2746/rev1.jpg&compression=90&height=125&width=125","/host_dir/MW-TNAUKGWA-41399-000-20200327175950-www.gov.uk-00027.warc.gz","422434894","sciencemuseum.ac.uk","","image/jpeg; version=1.01"
"20200327181007/DGFa0UJuyrEcPAgrVYtegg==","Mon Oct 23 09:04:40 GMT 2023","","Exhibitions London 2015Revelations: Experiments in Photography 20/03/2015 to 13/09/2015Curator: Dr. Benedict BurbridgeScience MuseumExhibition Road, South Kensington, London, SW7 2DD","","","","http://journal.sciencemuseum.ac.uk/ImageGen.ashx?image=/media/2751/rev6.jpg&compression=90&height=125&width=125","/host_dir/MW-TNAUKGWA-41399-000-20200327175950-www.gov.uk-00027.warc.gz","422455618","sciencemuseum.ac.uk","","image/jpeg; version=1.01"
"20200327181007/KKODz+xKAdNqs/vDVJm3QQ==","Mon Oct 23 09:04:40 GMT 2023","","Exhibitions London 2015Revelations: Experiments in Photography 20/03/2015 to 13/09/2015Curator: Dr. Benedict BurbridgeScience MuseumExhibition Road, South Kensington, London, SW7 2DD","","","","http://journal.sciencemuseum.ac.uk/ImageGen.ashx?image=/media/2750/rev5.jpg&compression=90&height=125&width=125","/host_dir/MW-TNAUKGWA-41399-000-20200327175950-www.gov.uk-00027.warc.gz","422611298","sciencemuseum.ac.uk","","image/jpeg; version=1.01"
"20200327181007/YoU8CmLkaWUs+qyZYbruCQ==","Mon Oct 23 09:04:40 GMT 2023","","Exhibitions London 2015Revelations: Experiments in Photography 20/03/2015 to 13/09/2015Curator: Dr. Benedict BurbridgeScience MuseumExhibition Road, South Kensington, London, SW7 2DD","","","","http://journal.sciencemuseum.ac.uk/ImageGen.ashx?image=/media/2756/rev11.jpg&compression=90&height=125&width=125","/host_dir/MW-TNAUKGWA-41399-000-20200327175950-www.gov.uk-00027.warc.gz","422542736","sciencemuseum.ac.uk","","image/jpeg; version=1.01"
