id,index_time,author,description,keywords,license_url,url,image_size,source_file_path,source_file_offset
"20200327144527/h4kVmbJRLjY7QxZuqjRg4Q==","Mon Oct 16 13:01:05 GMT 2023","","THE CABINET WAR ROOMS IN 1945. (HU 58517) Map room officers at work. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205043009","","","https://media.iwm.org.uk/ciim5/167/312/large_000000.jpg","500000","/host_dir/MW-TNAUKGWA-41399-000-20200327143824-www.gov.uk-00010.warc.gz","115619951"
"20200327221702/fcbkiIxALvL5znS59Vy4GA==","Mon Oct 16 12:48:51 GMT 2023","","HISTORY OF THE IMPERIAL WAR MUSEUM (Q 31567) The Curator of the Imperial War Museum, Major Charles ffoulkes, and the Museum's Superintendent of Stores, Captain W Mallandain MC, mark the ninth anniversary of the action at N�ry in which L Battery, Royal Horse Artillery won three Victoria Crosses. Wreaths sent by the Royal Horse Artillery are placed on the Battery's Vickers QF 13pdr Mk 1 field gun on display in the Imperial War Museum's galler... Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205191596","","","https://media.iwm.org.uk/ciim5/34/701/large_000000.jpg","444000","/host_dir/MW-TNAUKGWA-41399-000-20200327221636-www.gov.uk-00043.warc.gz","10708807"
"20200327215619/sIuR1S6uNZjqgHdkxxih1A==","Mon Oct 16 13:13:49 GMT 2023","","HISTORY OF THE IMPERIAL WAR MUSEUM (Q 42422) The Vickers QF 13pdr Horse Artillery Gun of E Battery, Royal Horse Artillery, leaves the Imperial War Museum's building in South Kensington, to take part in the unveiling of C S Jagger's Memorial to the Royal Artillery at Hyde Park Corner, London on 18 October 1925. During the First World War, the gun fired the first British round on the Western Front on 22 August 1914 and was also one of the last... Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205216582","","","https://media.iwm.org.uk/ciim5/59/147/large_000000.jpg","476800","/host_dir/MW-TNAUKGWA-41399-000-20200327215614-www.gov.uk-00041.warc.gz","5957212"
"20200327143554/6V71DXaYG3j6QZZxnK5dzA==","Mon Oct 16 13:13:26 GMT 2023","","HISTORY OF THE IMPERIAL WAR MUSEUM (Q 45234) Preparing naval exhibits for display in the Imperial War Museum's Naval Gallery in 1926, prior to reopening after the Museum relocated from Crystal Palace to much reduced accommodation adjacent to the Imperial Institute, in South Kensington London. The Museum remained in South Kensington until 1935. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205207285","","","https://media.iwm.org.uk/ciim5/50/254/large_000000.jpg","496000","/host_dir/MW-TNAUKGWA-41399-000-20200327142321-www.gov.uk-00009.warc.gz","341898575"
"20200327143552/M+0skge+3NEgzbSsw4a7+g==","Mon Oct 16 13:13:25 GMT 2023","","HISTORY OF THE IMPERIAL WAR MUSEUM (Q 36914) The Museum moves from Crystal Palace to South Kensington, 1924. Remounting displays in the Imperial War Museum's new accommodation adjacent to the Imperial Institute in South Kensington, London in early 1924. The move reduced the display space available to the Museum by a considerable margin. Nevertheless, the Museum remained at the site until 1935. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205207289","","","https://media.iwm.org.uk/ciim5/50/258/large_000000.jpg","483200","/host_dir/MW-TNAUKGWA-41399-000-20200327142321-www.gov.uk-00009.warc.gz","340726396"
"20200327144111/bm4DOSEi8n7siGwO6OJrFw==","Mon Oct 16 13:00:47 GMT 2023","","Two war photographers, 13 February 1945.","","","https://www.scienceandsociety.co.uk/images/10432538.JPG","22500","/host_dir/MW-TNAUKGWA-41399-000-20200327143824-www.gov.uk-00010.warc.gz","76915282"
"20200327144529/Fviy+AWH54t+tD/yo9POrA==","Mon Oct 16 13:01:05 GMT 2023","","BRITAIN BEFORE THE FIRST WORLD WAR (Q 81490) A portrait of the leader of the Women's Suffragette movement, Mrs Emmeline Pankhurst (left) and her daughters Christabel (centre) and Sylvia (right) at Waterloo Station, London. Mrs Pankhurst was about to leave for a lecture tour of the USA and Canada. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205022433","","","https://media.iwm.org.uk/ciim5/8/735/large_000000.jpg","512000","/host_dir/MW-TNAUKGWA-41399-000-20200327143824-www.gov.uk-00010.warc.gz","117026892"
"20200327225511/wh5TUqIGqq9JV8EEpRy8IQ==","Mon Oct 16 13:02:29 GMT 2023","","BRITAIN BEFORE THE FIRST WORLD WAR (Q 81490) A portrait of the leader of the Women's Suffragette movement, Mrs Emmeline Pankhurst (left) and her daughters Christabel (centre) and Sylvia (right) at Waterloo Station, London. Mrs Pankhurst was about to leave for a lecture tour of the USA and Canada. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205022433","","","https://media.iwm.org.uk/ciim5/8/735/mid_000000.jpg","72000","/host_dir/MW-TNAUKGWA-41399-000-20200327225421-www.gov.uk-00046.warc.gz","40408078"
"20200327232009/dQWxyCXvzR+k1QAvguX7Hw==","Mon Oct 16 12:37:38 GMT 2023","","BRITAIN BEFORE THE FIRST WORLD WAR (Q 81490) A portrait of the leader of the Women's Suffragette movement, Mrs Emmeline Pankhurst (left) and her daughters Christabel (centre) and Sylvia (right) at Waterloo Station, London. Mrs Pankhurst was about to leave for a lecture tour of the USA and Canada. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205022433","","","https://media.iwm.org.uk/ciim5/559/527/mid_000000.jpg","72000","/host_dir/MW-TNAUKGWA-41399-000-20200327231240-www.gov.uk-00048.warc.gz","352948865"
"20200327232015/uVU3MaQHdDtbZ9fl3E4hDQ==","Mon Oct 16 12:37:39 GMT 2023","","BRITAIN BEFORE THE FIRST WORLD WAR (Q 81835) The Sydney Street siege. Firemen tackle a fire at 100 Sidney Street, Stepney, London. Armed anarchists Fritz Svaars and Peter Piatkov ('Peter the Painter') had barricaded themselves in the property, shot at police and soldiers of the 1st Battalion, Scots Guards, and then set fire to the house on 2 January 1911. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205022536","","","https://media.iwm.org.uk/ciim5/8/833/large_000000.jpg","485600","/host_dir/MW-TNAUKGWA-41399-000-20200327231240-www.gov.uk-00048.warc.gz","357253426"
"20200327221050/Wxn0nUpqrSCSipJdf5PjEQ==","Mon Oct 16 13:15:44 GMT 2023","","INDUSTRY DURING THE FIRST WORLD WAR: DUBLIN (Q 33228) Female munitions workers at the National Shell Factory in Dublin take a break outdoors during the First World War. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205213652","","","https://media.iwm.org.uk/ciim5/56/612/large_000000.jpg","496800","/host_dir/MW-TNAUKGWA-41399-000-20200327220704-www.gov.uk-00042.warc.gz","210662715"
"20200327211705/2SapZ5V74f2YKHAfAwaBaA==","Mon Oct 16 13:05:30 GMT 2023","","CONSCIENTOUS OBJECTORS DURING THE FIRST WORLD WAR (Q 103334) A cartoon from the First World War period by Frank Holland 'An Object Lesson: This Little Pig stayed at Home' depicting a lazy conscientious objector who stayed at home while the rest of his family contributes to the war effort. Holland, an artist, worked as a cartoonist for Lord Harmsworth from the 1890s until the First World War. His work appeared in various magazines and newspapers, includi... Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205133178","","","https://www.iwm.org.uk/sites/default/files/2018-06/a.jpg","512000","/host_dir/MW-TNAUKGWA-41399-000-20200327211003-www.gov.uk-00038.warc.gz","216004471"
"20200327230202/QXyLvGIch5+8ObqfQfJ8dQ==","Mon Oct 16 13:03:27 GMT 2023","","GREAT BRITAIN BEFORE THE FIRST WORLD WAR (Q 81819) Poverty in Great Britain shortly before the First World War. Children photographed barefoot outside their home in a slum area of a British town. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205022464","","","https://media.iwm.org.uk/ciim5/8/763/large_000000.jpg","492000","/host_dir/MW-TNAUKGWA-41399-000-20200327225421-www.gov.uk-00046.warc.gz","399613406"
"20200327144849/LNbRPzzPXwe0w/6tXAkkgw==","Mon Oct 16 13:01:28 GMT 2023","","Second World War ARP Gas Mask Card (Documents.8848) Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/1030008677","","","https://media.iwm.org.uk/ciim5/272/825/large_000000.jpg","434400","/host_dir/MW-TNAUKGWA-41399-000-20200327143824-www.gov.uk-00010.warc.gz","215306021"
"20200327213622/9jp8ZZZ3O9pBU3r4CyUH3g==","Mon Oct 16 12:53:25 GMT 2023","","BRITISH SHIPS OF THE FIRST WORLD WAR (Q 21334) HMS HERCULES Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205024454","","","https://media.iwm.org.uk/ciim5/366/45/large_000000.jpg","534400","/host_dir/MW-TNAUKGWA-41399-000-20200327212645-www.gov.uk-00039.warc.gz","317441919"
"20200327143850/+6N2n97RDCUL1kr0rmxlcg==","Mon Oct 16 13:00:29 GMT 2023","","IMPERIAL WAR MUSEUM GALLERIES AT THE CRYSTAL PALACE, 1920 - 1924 (Q 17031) Imperial War Museum exhibit: E Battery and L Battery (Nery) guns Royal Horse Artillery with 9.2 inch howitzer (Mother). Imperial War Museum, Crystal Palace. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205076491","","","https://media.iwm.org.uk/ciim5/388/939/large_000000.jpg","457600","/host_dir/MW-TNAUKGWA-41399-000-20200327143824-www.gov.uk-00010.warc.gz","30323406"
"20200327143818/JERvr5Su2BHOEJQ2BVU4eA==","Mon Oct 16 13:13:41 GMT 2023","","","","","https://www.iwm.org.uk/sites/default/files/2018-01/guns_teaser.jpg","1049088","/host_dir/MW-TNAUKGWA-41399-000-20200327142321-www.gov.uk-00009.warc.gz","494144154"
"20200327204139/xC9hP0S2a2dy9t+gPYi6xw==","Mon Oct 16 13:06:17 GMT 2023","","HMS BELFAST DURING THE SECOND WORLD WAR (A 25665) HMS BELFAST leaving Scapa Flow for the Normandy beaches, June 1944. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205119900","","","https://media.iwm.org.uk/ciim5/18/286/large_000000.jpg","445600","/host_dir/MW-TNAUKGWA-41399-000-20200327203254-www.gov.uk-00036.warc.gz","259731810"
"20200327214525/1xy/gTBPwdUM6BIY3DYP8w==","Mon Oct 16 12:53:23 GMT 2023","","THE IMPERIAL WAR MUSEUM PUBLIC APPEAL FOR PHOTOGRAPHS OF MEN WHO DIED IN THE FIRST WORLD WAR (Q 24093) Large packets of bundles of memorial cards, including framed portraits of the Heroes, at the Imperial War Museum waiting for sorting and notating. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205085829","","","https://media.iwm.org.uk/ciim5/13/878/large_000000.jpg","482400","/host_dir/MW-TNAUKGWA-41399-000-20200327214317-www.gov.uk-00040.warc.gz","80946266"
"20200327221352/CGc9laEprV8Xz2UaSddsQg==","Mon Oct 16 13:16:10 GMT 2023","","THE WAR INDUSTRY IN BRITAIN, 1914-1918 (Q 54588) Young male labourers assembling aircraft switch part for the motor control switch gears at an airplane factory. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205024598","","","https://media.iwm.org.uk/ciim5/364/976/large_000000.jpg","454400","/host_dir/MW-TNAUKGWA-41399-000-20200327220704-www.gov.uk-00042.warc.gz","367709483"
"20200327203227/keLCZpzV8Yb3XPMAy15tzg==","Mon Oct 16 12:41:23 GMT 2023","","WEST INDIANS IN THE FIRST WORLD WAR (E(AUS) 2078) In action: West Indian troops stacking 8 inch shells at a dump on the Gordon Road, Ypres, October 1917. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205213105","","","https://media.iwm.org.uk/ciim5/167/750/large_000000.jpg","448800","/host_dir/MW-TNAUKGWA-41399-000-20200327201751-www.gov.uk-00035.warc.gz","456659717"
"20200327231301/b9klCmZT0innfLF44E2JAQ==","Mon Oct 16 12:36:34 GMT 2023","","WINSTON CHURCHILL IN THE SECOND WORLD WAR (H 40057) Churchill leaning into President Roosevelt's car to greet him after arriving for the Quebec conference in Canada, 11 September 1944. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205195507","","","https://media.iwm.org.uk/ciim5/38/517/large_000000.jpg","630400","/host_dir/MW-TNAUKGWA-41399-000-20200327231240-www.gov.uk-00048.warc.gz","46962826"
"20200327144924/c0ZC22qS9Aatv7mOHwWfOA==","Mon Oct 16 13:01:32 GMT 2023","","THE HOME FRONT IN BRITAIN DURING THE FIRST WORLD WAR (Q 56276) Food shortages and rationing were not only an issue during the Second World War, as this food queue in Reading during the First World War highlights. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205085852","","","https://media.iwm.org.uk/ciim5/13/886/large_000000.jpg","492800","/host_dir/MW-TNAUKGWA-41399-000-20200327143824-www.gov.uk-00010.warc.gz","241916694"
"20200327221654/4AP8Bn6DSepFNxbSZM9dGA==","Mon Oct 16 12:48:50 GMT 2023","","IMPERIAL WAR MUSEUM GALLERIES AT THE CRYSTAL PALACE, 1920 - 1924 (Q 31112) Women's War Work Exhibition, Whitechapel: Hospital Section Exhibits. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205076674","","","https://media.iwm.org.uk/ciim5/298/482/large_000000.jpg","469600","/host_dir/MW-TNAUKGWA-41399-000-20200327221636-www.gov.uk-00043.warc.gz","8594722"
"20200327221010/Yv0LmbU8pgrCfptQh/6I8w==","Mon Oct 16 13:15:35 GMT 2023","","SPORT & LEISURE DURING THE SECOND WORLD WAR (H 7496) Men from Bolton Wanderers Football Club serving together with a battery of artillery (53rd Field Regiment, Royal Artillery, 42 Division, 11 Corps) at Beccles on the east coast of England. Photograph shows: the nine footballers in their football kit standing in line in goal. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205125348","","","https://media.iwm.org.uk/ciim5/21/335/large_000000.jpg","637600","/host_dir/MW-TNAUKGWA-41399-000-20200327220704-www.gov.uk-00042.warc.gz","179105698"
"20200327215621/7k2qjkAGMv9selxgTjGasw==","Mon Oct 16 13:13:50 GMT 2023","","IMPERIAL WAR MUSEUM GALLERIES AT THE CRYSTAL PALACE, 1920-1924 (Q 31412) Visitors to the Imperial War Museum examine a model at the Imperial War Museum shortly after the Museum first opened to the public at Crystal Palace, London in 1920. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205191589","","","https://media.iwm.org.uk/ciim5/34/694/large_000000.jpg","479200","/host_dir/MW-TNAUKGWA-41399-000-20200327215614-www.gov.uk-00041.warc.gz","7160058"
"20200327215541/U3AE4TYkbukOa1vb5LEi4Q==","Mon Oct 16 12:54:40 GMT 2023","","IMPERIAL WAR MUSEUM GALLERIES AT THE CRYSTAL PALACE, 1920 - 1924 (Q 17196) Moving French tank into the Imperial War Museum, Crystal Palace. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205076552","","","https://media.iwm.org.uk/ciim5/269/860/large_000000.jpg","475200","/host_dir/MW-TNAUKGWA-41399-000-20200327214317-www.gov.uk-00040.warc.gz","486458689"
"20200327150435/FDBTONWLTewc2o3zalvj0g==","Mon Oct 16 12:43:10 GMT 2023","","World War II civilian gas mask. This is a telephone operator's gas mask. During World War II, Britain's defence system was heavily reliant on telegraph, telephone and wireless communication. Switchboard operators working for the General Post Office were issued with specially adapted gas masks that incorporated a switchboard earpiece. In the event of a gas attack the operators would have been able to continue to provide an essential telephone service. Fortunately gas attacks did not take place during World War II and the masks were used only for training purposes.","","","https://www.museumoflondon.org.uk/application/files/4014/5737/0440/gas_mask.jpg","1520000","/host_dir/MW-TNAUKGWA-41399-000-20200327150409-www.gov.uk-00012.warc.gz","37728783"
"20200327203912/AEcjic617qpPGtkJehk+WA==","Mon Oct 16 13:06:06 GMT 2023","","IMPERIAL WAR MUSEUM GALLERIES AT THE CRYSTAL PALACE, 1920 - 1924 (Q 31438) View of the army section display, Imperial War Museum, Crystal Palace, 1920. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205191590","","","https://media.iwm.org.uk/ciim5/34/695/large_000000.jpg","456000","/host_dir/MW-TNAUKGWA-41399-000-20200327203254-www.gov.uk-00036.warc.gz","147740983"
"20200327180859/p4HA3iUBrgv8wMJVdFPAbg==","Mon Oct 16 13:04:54 GMT 2023","Home Office, Ministry of Home Security, and related bodies","WAR: National Registration Act, 1939: manpower organisation and national registration","","","https://cdn.nationalarchives.gov.uk/blog/wp-content/uploads/2019/07/02172019/national-service-banner.jpg","231700","/host_dir/MW-TNAUKGWA-41399-000-20200327175950-www.gov.uk-00027.warc.gz","369095955"
"20200327201932/F5B36jOWUcfNEPszp3JZvQ==","Mon Oct 16 12:40:15 GMT 2023","Andrew Tunnard","Schools Programme at Imperial War Museum North.Photographed 21st March 2018.","","","https://www.iwm.org.uk/sites/default/files/2018-04/iwm_site_iwmn_002483.jpg","3164480","/host_dir/MW-TNAUKGWA-41399-000-20200327201751-www.gov.uk-00035.warc.gz","33507069"
"20200327180554/v/j4vJ2THxT7KqP0zqD5gQ==","Mon Oct 16 13:04:30 GMT 2023","National Savings Committee, the Post Office Savings Department and the Department for National Savings","","","","https://cdn.nationalarchives.gov.uk/blog/wp-content/uploads/2019/01/01140205/NSC-63_21_1940-1945.jpg","175000","/host_dir/MW-TNAUKGWA-41399-000-20200327175950-www.gov.uk-00027.warc.gz","273968455"
"20200327221656/4ezQXUxir/idTquZPb0ZYA==","Mon Oct 16 12:48:51 GMT 2023","","IMPERIAL WAR MUSEUM GALLERIES AT THE CRYSTAL PALACE, 1920-1924 (Q 20528) An 18 inch naval gun arriving at the Imperial War Museum, Crystal Palace. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205191574","","","https://media.iwm.org.uk/ciim5/34/679/large_000000.jpg","477600","/host_dir/MW-TNAUKGWA-41399-000-20200327221636-www.gov.uk-00043.warc.gz","8978211"
"20200327211717/6/X/ck8DwXJn4auFrOwcEA==","Mon Oct 16 13:05:32 GMT 2023","","THE OUTBREAK OF THE FIRST WORLD WAR, 1914 (Q 81831) Archduke Franz Ferdinand of Austria and his wife descend the steps of the City Hall, Sarajevo to their motor car, a few moments before their assassination. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205022446","","","https://media.iwm.org.uk/ciim5/8/746/large_000000.jpg","476000","/host_dir/MW-TNAUKGWA-41399-000-20200327211003-www.gov.uk-00038.warc.gz","220474752"
"20200327221439/yQ0F7blqcLEAkXLRDNbuOg==","Mon Oct 16 13:16:15 GMT 2023","","INDUSTRY IN BRITAIN DURING THE FIRST WORLD WAR (Q 15364) The Venesta factory, which produced wood veneer packing cases for the tea trade, lies in ruins following the detonation of 83 tonnes of TNT at the Brunner Mond's explosives factory in Silvertown, East London, on 19 January 1917. Copyright: � IWM. Original Source: http://www.iwm.org.uk/collections/item/object/205195474","","","https://media.iwm.org.uk/ciim5/365/985/large_000000.jpg","528000","/host_dir/MW-TNAUKGWA-41399-000-20200327220704-www.gov.uk-00042.warc.gz","401888513"
